date,a2c,ppo,tdr,dji
2023-12-04,1562009.2846660858,1332075.518748385,1553948.677188263,1092589.2067003886
2023-12-05,1573569.1586242653,1355226.6281691613,1558891.5364411927,1090178.4776475905
2023-12-06,1556330.4914560753,1348342.7526732506,1561917.934207306,1088062.1050957625
2023-12-07,1568320.3769393517,1365540.302302462,1584995.0855744935,1089961.806742992
2023-12-08,1581657.3072407204,1374373.3140975062,1609404.2866090394,1093899.8416934942
2023-12-11,1576867.4606525856,1355061.5610304894,1592440.1686433412,1098639.606144636
2023-12-12,1591398.6312916237,1358220.6740599694,1602963.5759309388,1103860.80910197
2023-12-13,1603113.2934925514,1375586.6796675744,1617383.3820680238,1119321.0679682952
2023-12-14,1615924.7812397438,1396813.4232283654,1641937.956988678,1124092.661115978
2023-12-15,1628746.5431263405,1404026.6272612633,1658029.2190431214,1125807.049018904
2023-12-18,1642546.7598011452,1402880.1371718468,1661773.476306305,1125832.9835123816
2023-12-19,1655831.5782368141,1415302.3322783532,1685374.8790010072,1133434.972970953
2023-12-20,1637501.815373655,1384995.5056868612,1657345.9742921449,1119072.4504830947
2023-12-21,1647119.762776609,1402096.9793273034,1678902.8425782777,1128800.4789865178
2023-12-22,1643754.6291096169,1394062.7219573082,1669776.5810731507,1128245.716594221
2023-12-26,1648385.203252073,1400577.0113936486,1680455.3018830873,1133054.9147574457
2023-12-27,1653988.457618196,1410235.9678984703,1690534.2166780091,1136410.484561255
2023-12-28,1659787.8602709365,1395945.5189772667,1677051.4645722962,1138027.5002295792
